"review our plugin","Zrecenzuj nasz wtyczkę"
"Your feedback is important. Please take a moment to","Twoja opinia jest ważna. Proszę poświęcić chwilę na"
"Ekomi Integration","Integracja z eKomi"
"Ekomi Integration Section","Sekcja integracji z eKomi"
"Ekomi Configuration","Konfiguracja eKomi"
"Enabled","Włączone"
"To enable for specific store or website, please change scope from top left","Aby włączyć dla określonego sklepu lub strony internetowej, proszę zmienić zakres z lewego górnego rogu."
"Product Base Reviews","Recenzje oparte na produkcie"
"Shop ID","ID sklepu"
"Interface id received by eKomi","ID interfejsu otrzymane od eKomi"
"Shop Password","Hasło sklepu"
"Order Statu","Status zamówienia"
"Order status when review email should be sent. Please note number of days added for delay will be after this","Status zamówienia, przy którym powinien zostać wysłany e-mail z recenzją. Proszę zauważyć, że liczba dni dodanych na opóźnienie dotyczy okresu po tym statusie"
"Review Mode","Tryb recenzji"
"How do you want to ask customer for review, email or sms","Jak chcesz poprosić klienta o recenzję, e-mailem czy SMS-em"
"Product Identifierd","Identyfikator produktu"
"Which product attribute should be used as identifier in eKomi","Który atrybut produktu powinien być używany jako identyfikator w eKomi"
"Exclude Products","Wyklucz produkty"
"Comma separated list of product IDs/SKUs which should be excluded from product export to eKomi","Rozdzielona przecinkami lista identyfikatorów produktów (ID/SKU), które powinny zostać wykluczone z eksportu produktów do eKomi"
"Export Method","Metoda eksportu"
"When should the orders be exported to eKomi?","Kiedy zamówienia powinny być eksportowane do eKomi"
"TurnAround Time","Czas realizacji"
"Number of days required to complete an order","Liczba dni potrzebna do zrealizowania zamówienia"
"Terms and Conditions","Regulamin"
"The plugin will export orders only if you are agree with our","Wtyczka będzie eksportować zamówienia tylko jeśli się zgadzasz z naszymi warunkami"
"status","status"
"eKomi Product Review Container","Kontener recenzji produktów eKomi"
"Displays the product reviews for a given product","Wyświetla recenzje produktu dla danego produktu"
"Title","Tytuł"
"Template","Szablon"
"SW Product Review Container","Kontener recenzji produktów SW"
"On Order Status Change","Przy zmianie statusu zamówienia"
"Every 24 hours (Cron)","Co 24 godziny (Cron)"
"Product ID","ID produktu"
"Product SKU","Kod SKU produktu"
"Email","Email"
"SMS","SMS"
"SMS if contact number valid, otherwise Email","SMS, jeśli numer kontaktowy jest poprawny, w przeciwnym razie e-mail"
"Yes","tak"
"No","nie"
"1 Day","1 dzień"
"2 Days","2 dni"
"3 Days","3 dni"
"4 Days","4 dni"
"5 Days","5 dni"
"6 Days","6 dni"
"7 Days","7 dni"
"8 Days","8 dni"
"9 Days","9 dni"
"10 Days","10 dni"
"15 Days","15 dni"
"20 Days","20 dni"
"30 Days","30 dni"
"Access denied, Invalid Shop ID or Password","Dostęp zabroniony, Nieprawidłowe ID sklepu lub hasło"
